"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"17","#pasta &amp; @QuornFoods mince &amp; #Vegetables #food #foodporn #veggie #vegetarian #cooking #homecooking #tasty #dinner https://t.co/33xSM6Co5H",FALSE,0,NA,2016-09-29 17:11:56,FALSE,NA,"781542036516331520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DoctorGOE",0,FALSE,FALSE,NA,NA
"18","Sorry, aber: volle Gönnung. #homecooking https://t.co/D8CPpV9Wfo",FALSE,3,NA,2016-09-29 17:04:07,FALSE,NA,"781540071371632640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baranek",0,FALSE,FALSE,NA,NA
"19","EASY CROCKPOT PORK ROAST DINNER WITH ONLY 5 INGREDIENTS! #slowcoker #instagood #homemade #DIY #love #homecooking... https://t.co/hKWHtdrWKO",FALSE,0,NA,2016-09-29 16:45:09,FALSE,NA,"781535296148107265",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"20","Here's how your slow cooker can help you save for retirement https://t.co/zAcZTwiXem #slowcooker #homecooking #retirement",FALSE,0,NA,2016-09-29 16:35:25,FALSE,NA,"781532844661301248",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Fin_Finesse",0,FALSE,FALSE,NA,NA
"21","RT @kuhnperalta: Veal Scallopini with Tagliatelle! #veal #pasta #Foodie #homecooking @PhoodieLife @TwitterFood @FoodTastic https://t.co/E8c…",FALSE,0,NA,2016-09-29 16:33:08,FALSE,NA,"781532271996174336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","majdeyaseenalbd",7,TRUE,FALSE,NA,NA
"22","Homemade pork stir fry for dindins #HomeCooking #ChineseAtHome <ed><U+00A0><U+00BC><ed><U+00BD><U+009C> @… https://t.co/GyNW913rtb",FALSE,0,NA,2016-09-29 15:48:38,FALSE,NA,"781521073208692736",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Polly_Gregory",0,FALSE,FALSE,"-1.5106","52.4081"
"23","BLACKBERRY COBBLER WITH VANILLA SAUCE #instagood #homemade #DIY #love #homecooking #partyplanning #holidays... https://t.co/Em0MTJvpGp",FALSE,0,NA,2016-09-29 15:43:09,FALSE,NA,"781519693228244992",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shonnacoleman",0,FALSE,FALSE,NA,NA
"24",".@dhmeyer your daughter is pretty awesome. @hallie_meyer @umikitchen #homecooking #delivery #startups https://t.co/MKyqYuqS5A",FALSE,1,NA,2016-09-29 15:41:55,FALSE,NA,"781519383214583808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EveTurowPaul",0,FALSE,FALSE,NA,NA
"25","Chicken wok #food #foodporn #foodgasm #foodstagram #foodjunkie #instafood #homecook #homecooking… https://t.co/sl2WWrT8xE",FALSE,1,NA,2016-09-29 15:23:05,FALSE,NA,"781514645261602821",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TotteLundgren",0,FALSE,FALSE,NA,NA
"26","Fresh Off the Tree - Crab Apple Crisp with Walnuts #Food #HomeCooking #Dessert #Apples #Crisp #CrabApple #Fruit… https://t.co/SnwoO1akQM",FALSE,1,NA,2016-09-29 15:17:00,TRUE,NA,"781513111631036416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fearless13Z",0,FALSE,FALSE,NA,NA
"27","Day off celebrating with a veggie omelette!! Yay omelettes are not easy! #eggs #homecooking… https://t.co/eN1lMwePYN",FALSE,0,NA,2016-09-29 15:08:24,FALSE,NA,"781510947206594560",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LisaOlson29",0,FALSE,FALSE,NA,NA
"28","If you're in the #Louisville area and into #homecooking, please join our fun FB group Louisville Area Home Cooks - https://t.co/7mbZUbc2BF",FALSE,1,NA,2016-09-29 15:02:51,FALSE,NA,"781509551711485953",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","MetroFoodist",0,FALSE,FALSE,NA,NA
"29","""An uncut woman is the build-up to a beat-drop"" Listening to #HomeCooking from Octavia Collective  https://t.co/bDXIoDJe4E",FALSE,1,NA,2016-09-29 14:56:54,FALSE,NA,"781508055599054848",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","applessnakesne",0,FALSE,FALSE,NA,NA
